CODMES,ID,SECTOR_ECONÓMICO
201805,15006326,Otros
201802,15006326,Otros
201801,15006326,Otros
201803,15006326,Otros
201804,15006326,Otros
201810,15006326,Otros
201809,15006326,Otros
201811,15006326,Otros
201812,15006326,Otros
201803,15013384,Construcción
201802,15013384,Construcción
201808,15013384,Construcción
201807,15013384,Construcción
201812,15013384,Construcción
201811,15013384,Construcción
201809,15013384,Construcción
201810,15013384,Construcción
201811,15015736,Otros
201812,15015736,Otros
201807,15020168,Act. Inmob. Emp y Alquiler
201808,15020168,Act. Inmob. Emp y Alquiler
201805,15020168,Act. Inmob. Emp y Alquiler
201806,15020168,Act. Inmob. Emp y Alquiler
201802,15020168,Act. Inmob. Emp y Alquiler
201801,15020168,Act. Inmob. Emp y Alquiler
201803,15020168,Act. Inmob. Emp y Alquiler
201804,15020168,Act. Inmob. Emp y Alquiler
201811,15020168,Act. Inmob. Emp y Alquiler
201810,15020168,Act. Inmob. Emp y Alquiler
201809,15020168,Act. Inmob. Emp y Alquiler
201804,15023894,Otros
201803,15023894,Otros
201801,15023894,Otros
201802,15023894,Otros
201806,15023894,Otros
201805,15023894,Otros
201808,15023894,Otros
201807,15023894,Otros
201809,15023894,Otros
201810,15023894,Otros
201811,15023894,Otros
201812,15023894,Otros
201807,15025510,Comercio
201808,15025510,Comercio
201805,15025510,Comercio
201806,15025510,Comercio
201802,15025510,Comercio
201801,15025510,Comercio
201803,15025510,Comercio
201804,15025510,Comercio
201812,15025510,Comercio
201811,15025510,Comercio
201810,15025510,Comercio
201809,15025510,Comercio
201801,15026736,Hoteles y Restaurantes
